S.No,Long,Lat,pH,EC,OC,N,P,K,S,Zn,Fe,Cu,Mn,B
90,74.87833333,17.95805556,7.7,0.72,0.42,294,12.4,986,6.2,0.8,2.9,0.7,2.26,0.68
91,74.85583333,17.95833333,7.9,0.54,0.54,378,9.6,1176,7.5,0.4,3.45,0.35,2.64,0.9
92,74.85972222,17.95833333,7.66,0.58,0.6,420,13.64,1680,7.3,0.48,3.1,0.48,2.18,0.9
93,74.88805556,17.95861111,7.67,0.81,0.36,252,10.46,627,8.3,0.42,2.45,0.4,1.9,0.67
94,74.85722222,17.95888889,7.72,0.6,0.69,483,12.6,1232,8.4,0.9,2.92,0.56,1.96,0.66
95,74.87694444,17.95888889,7.47,0.83,0.6,920,12.9,874,8.2,0.52,3.26,0.48,1.98,0.5
96,74.85388889,17.95916667,7.9,1.05,0.39,273,11.5,963,6.5,0.45,4.22,0.4,2.2,0.98
97,74.85638889,17.95916667,7.65,0.76,0.66,462,16.2,660,8,0.4,2.7,0.5,2.17,0.95
98,74.86527778,17.95916667,7.58,0.73,0.81,567,13.4,1097,8.4,0.89,3.18,0.74,1.98,0.84
99,74.89472222,17.95916667,7.77,0.9,0.48,336,11.2,459,6.6,0.35,1.7,0.5,3.3,0.6
100,74.85055556,17.95944444,7.8,0.67,0.3,210,12.2,739,7.2,0.6,3.98,0.55,2.74,0.6
101,74.87583333,17.95944444,7.82,0.76,0.9,630,12.48,728,7.4,0.89,3.14,0.48,2.2,0.7
102,74.87777778,17.95944444,7.55,0.72,0.33,231,12.48,941,7.2,0.48,3,0.7,2,0.5
103,74.8725,17.95972222,7.72,0.63,0.99,693,12.4,840,7.1,0.52,3.26,0.68,2.44,0.7
104,74.895,17.95972222,7.56,0.98,0.3,210,16.1,481,9,0.55,1.95,0.45,2.2,0.95
105,75.52055556,17.95972222,7.68,0.72,0.36,352,12.5,392,7.1,0.3,2.51,0.44,2.25,0.6
106,74.85888889,17.96,7.57,0.72,0.72,357,13.89,672,8.1,0.66,2.98,0.5,2.4,0.72
107,74.85972222,17.96,7.8,0.81,0.66,462,12.44,1154,8.4,0.89,3.26,0.54,1.98,0.72
108,74.87416667,17.96,7.9,0.68,0.6,420,12.24,806,6.5,0.49,2.98,0.86,2.26,0.76
109,74.8675,17.96027778,7.82,0.56,0.34,378,11.24,1030,9.1,0.62,2.9,0.72,2,0.72
110,74.91388889,17.96027778,7.88,0.72,0.12,84,11.6,616,7.5,0.5,3.9,0.4,1.85,0.6
111,74.855,17.96055556,7.85,0.69,0.33,231,14.2,2240,8.8,0.5,3.15,0.43,2.31,0.7
112,74.85888889,17.96055556,7.9,0.67,0.78,476,12.4,784,6.3,0.52,3,0.55,2.32,0.98
113,74.86083333,17.96055556,7.5,0.9,0.6,420,12.48,459,8.4,0.6,3.18,0.66,2.58,0.78
114,74.8625,17.96055556,7.94,0.87,0.69,483,13.26,381,8.2,0.46,3,0.72,2.2,0.68
115,74.86694444,17.96055556,7.92,0.47,0.51,357,11.89,929,7.2,0.74,2.92,0.76,2.92,0.48
116,74.875,17.96055556,7.96,0.71,0.72,504,13.52,728,5.9,0.46,3,0.42,2.22,0.48
117,74.85722222,17.96083333,7.55,0.63,0.57,399,17.3,2240,6.5,0.4,4.18,0.63,1.75,0.85
118,74.86138889,17.96083333,7.88,0.98,0.72,504,12.48,1064,8.2,0.52,3,0.52,1.86,0.4
119,74.89388889,17.96083333,7.68,0.82,0.42,294,11.44,537,7.2,0.4,1.5,0.35,3.7,0.7
120,74.90416667,17.96083333,7.9,0.46,0.36,252,16.2,448,6,0.45,2.72,0.72,1.7,0.55
121,74.91416667,17.96083333,7.76,0.9,0.12,84,16.2,425,8.3,0.28,2.67,0.48,2.6,0.67
122,74.85333333,17.96111111,7.78,0.75,0.24,168,15.3,840,7.9,0.45,3.78,0.33,2.18,0.9
123,74.865,17.96111111,7.7,0.68,0.15,105,13.24,515,6.4,0.6,4,0.72,1.9,0.48
124,74.91138889,17.96111111,7.36,0.46,0.36,252,12.64,302,6.6,0.55,1.3,0.6,2.1,0.6
125,75.09111111,17.96111111,7.98,0.57,0.38,263,8.5,486,6.21,0.25,2.97,0.68,3.98,0.5
126,74.85944444,17.96138889,7.45,0.54,0.36,352,13.44,414,7.1,0.63,3.42,0.6,1.9,0.48
127,74.86138889,17.96138889,7.72,0.76,0.33,231,12.48,526,8.2,0.8,2.92,0.66,1.9,0.56
128,74.87361111,17.96138889,7.42,0.72,0.42,294,13.48,773,6.2,0.39,3.16,0.62,2.18,0.7
129,74.87416667,17.96138889,7.49,0.42,0.24,168,18.15,315,7.4,0.81,3.9,0.7,2.1,0.85
130,74.91555556,17.96138889,7.7,0.94,0.3,210,17.1,436,7.5,0.35,3.1,0.54,2.8,0.76
131,74.8575,17.96166667,7.9,1.18,0.6,420,16.2,1780,7.2,0.35,3.75,0.35,1.3,0.8
132,74.85861111,17.96166667,7.84,0.67,0.63,441,13.43,1120,8.2,0.44,2.88,0.76,2.1,0.76
133,74.86194444,17.96166667,7.66,0.92,0.3,210,13.89,2184,6.4,0.74,3.16,0.58,2.12,0.52
134,74.86305556,17.96166667,7.92,0.51,0.81,567,13.43,426,8.3,0.89,2.92,0.48,1.94,0.36
135,74.87972222,17.96166667,7.48,0.67,0.63,252,11.2,448,7.5,0.35,2.2,0.34,1.7,0.9
136,74.90277778,17.96166667,7.48,0.72,0.33,231,11.5,448,7.2,0.45,1.9,0.35,1.7,0.85
137,74.86361111,17.96194444,7.98,0.94,0.99,693,18.36,840,6.3,0.43,3.16,0.6,1.76,0.52
138,74.9025,17.96194444,7.72,0.67,0.24,168,15.1,504,6.6,0.4,4,0.55,1.65,0.75
139,74.90333333,17.96194444,7.7,0.63,0.39,273,13.5,291,7.3,0.4,1.5,0.5,2.5,0.7
140,74.85277778,17.96222222,7.7,0.7,0.48,336,11.6,2217,7.7,0.45,2.67,0.54,2.4,0.6
141,74.86388889,17.96222222,7.72,0.72,0.78,546,13.89,907,7.2,0.5,2.96,0.72,1.92,0.58
142,74.86527778,17.96222222,7.74,0.66,0.24,168,10.24,448,8.3,0.89,3.76,0.48,1.92,0.72
143,74.87944444,17.96222222,7.72,0.61,0.24,168,13.49,1176,8.2,0.79,2.76,0.48,2.12,0.58
144,74.88472222,17.96222222,7.94,0.67,0.87,609,13.14,986,8.2,0.89,3.1,0.4,1.7,0.44
145,74.89305556,17.96222222,7.5,0.66,0.33,231,10,504,8.3,0.2,1.2,0.4,3.85,0.52
146,74.8575,17.9625,7.88,1.59,0.78,546,14.5,2240,9.5,0.45,2.9,0.2,1.25,0.7
147,74.86583333,17.9625,7.68,0.72,0.72,504,12.48,593,6.4,0.3,3.92,0.72,2.2,0.76
148,74.87166667,17.9625,7.67,0.67,0.63,141,10.46,951,7.2,0.48,2.76,0.44,1.98,0.6
149,74.87722222,17.9625,7.49,0.55,0.18,126,17.1,126,7.9,0.75,3.7,0.35,2.5,0.7
150,74.885,17.9625,7.9,0.94,0.24,168,18,997,8.4,0.48,3.16,0.55,1.9,0.56
151,74.86472222,17.96277778,7.7,0.92,0.66,462,17.1,1265,5.9,0.54,3.1,0.48,2,0.62
152,74.87027778,17.96277778,7.79,0.71,0.42,294,133.49,683,8.4,0.74,2.9,0.8,2.16,0.54
153,74.8725,17.96277778,7.55,0.65,0.48,336,15.6,582,8.5,0.42,4.1,0.8,1.9,0.78
154,74.88611111,17.96277778,7.26,0.49,0.48,336,10.19,885,8.2,0.74,2.7,0.72,2.1,0.76
155,74.90416667,17.96277778,7.54,0.71,0.93,671,12.6,448,8.4,0.35,1.55,0.4,2.6,0.75
156,74.905,17.96277778,7.68,0.9,0.57,399,11.2,437,9.2,0.4,1.6,0.5,2.9,0.8
157,74.86722222,17.96305556,7.72,0.86,0.69,483,13.2,425,8.2,0.44,3.1,0.58,2.1,0.58
158,74.88611111,17.96305556,7.2,0.69,0.54,378,11.1,448,7.6,0.25,1.6,0.65,1.7,0.54
159,74.90361111,17.96305556,7.52,0.94,0.51,357,12.6,392,8.4,0.5,1.75,0.4,1.85,0.9
160,74.91527778,17.96305556,7.71,0.76,0.63,441,11.5,347,6.1,0.45,1.2,0.72,2.4,0.8
161,74.91638889,17.96305556,7.74,0.58,1.2,840,17,504,5.9,0.4,3.26,0.66,1.95,0.58
162,74.85722222,17.96333333,7.9,0.72,0.54,378,12.3,1624,7.9,0.4,4.25,0.22,1.18,0.95
163,74.88583333,17.96333333,7,0.85,0.15,105,12.6,616,8.4,0.48,2.9,0.7,1.9,0.65
164,74.8975,17.96333333,7.54,0.72,0.27,189,11.2,560,7.3,0.25,1.45,0.45,4,0.6
165,74.87333333,17.96361111,7.58,0.61,0.21,147,12.45,347,9.6,0.48,1.9,0.4,1.5,0.85
166,74.90305556,17.96361111,7.68,0.61,0.84,588,11.66,650,7.5,0.45,2.3,0.4,3.6,0.6
167,74.85666667,17.96388889,7.95,1.08,0.33,231,11.6,1377,8.4,0.3,3.1,0.32,2.64,0.9
168,74.87666667,17.96388889,7.67,0.58,0.6,420,12.65,414,6.1,0.61,3.3,0.6,2.3,0.75
169,74.87972222,17.96388889,7.65,0.57,0.9,630,11.46,313,8.4,0.35,1.6,0.5,1.4,0.78
