,latitudes,longitudes,values,variance
249,17.96,75.0,0.2772510483358929,0.0175927243860262
250,17.96,75.01,0.2760857519829561,0.017632909796371284
251,17.96,75.02,0.27491377302770403,0.017672041124072217
252,17.96,75.03,0.2738913373735315,0.017709851052509454
253,17.96,75.04,0.2730979176034292,0.017746045766230158
254,17.96,75.05,0.27253809916257804,0.01778032440723625
255,17.96,75.06,0.272179437277246,0.017812436560064142
256,17.96,75.07,0.27204991429320885,0.017842206464671273
257,17.96,75.08,0.27215310652051034,0.01786953041473502
258,17.96,75.09,0.27251376600392874,0.017894543798871627
259,17.96,75.1,0.2736054187567281,0.017927452731497966
260,17.96,75.11,0.27493829347734616,0.017959565383041175
261,17.96,75.12,0.2763181399987785,0.017989516568261314
262,17.96,75.13,0.2776797438694258,0.0180173629542357
263,17.96,75.14,0.279030359276801,0.018043217208031977
264,17.96,75.15,0.2803691180767335,0.018067248335035813
265,17.96,75.16,0.28167459805101197,0.018089659775047884
266,17.96,75.17,0.28291510860162905,0.0181106569128268
267,17.96,75.18,0.284049251715726,0.01813040493662761
268,17.96,75.19,0.285070251521816,0.018148996327583853
269,17.96,75.2,0.2859714039321178,0.018166440352786313
270,17.96,75.21,0.28672747922199493,0.018182674557760417
271,17.96,75.22,0.28732795529497535,0.01819758795580669
272,17.96,75.23,0.28778271376505205,0.018211042504279577
273,17.96,75.24,0.2880657057148264,0.01822289343506183
274,17.96,75.25,0.28819082153297826,0.018233013917657227
275,17.96,75.26,0.2881524257308607,0.018241301547537458
276,17.96,75.27,0.2879795937624246,0.01824768258826701
277,17.96,75.28,0.287682291541498,0.01825212197399547
278,17.96,75.29,0.2873034903705958,0.01825461639073015
279,17.96,75.3,0.28688530403638535,0.018255185500569992
280,17.96,75.31,0.28650181481234316,0.01825387102195589
281,17.96,75.32,0.2861886493235558,0.01825074605882862
282,17.96,75.33,0.28607372156057814,0.018245955862726367
283,17.96,75.34,0.2862047207616838,0.018239778719238233
284,17.96,75.35,0.28649882342663174,0.018232691152347644
285,17.96,75.36,0.28688585885748197,0.018225341387034424
286,17.96,75.37,0.28731352282411143,0.018218257233950187
287,17.96,75.38,0.2877464150625457,0.018211448904849672
288,17.96,75.39,0.28815359338787416,0.01820445924028285
289,17.96,75.4,0.2885994810284606,0.01819677026561132
290,17.96,75.41,0.289184537795915,0.01818802818171659
291,17.96,75.42,0.2899440374394414,0.018178035081355768
292,17.96,75.43,0.2908886400795761,0.01816668613415165
293,17.96,75.44,0.2921035594167026,0.01815392409952193
294,17.96,75.45,0.29368017052987544,0.01813972468669645
295,17.96,75.46,0.29564747742447955,0.018124115870227366
296,17.97,73.4,0.49204166421692336,0.018138872992645695
297,17.97,73.41,0.49231318776543126,0.018114384705611136
298,17.97,73.42,0.49217231109666987,0.018096234711404077
299,17.97,73.43,0.49177056992985435,0.018084008048466244
300,17.97,73.44,0.49116379115108777,0.018077068566764443
301,17.97,73.45,0.49040810303579235,0.0180746771207014
302,17.97,73.46,0.48946876238038667,0.018076118472757922
303,17.97,73.47,0.48827848021889536,0.018080806535499403
304,17.97,73.48,0.4867838931244404,0.01808836790358334
305,17.97,73.49,0.4849485442778526,0.018098684840800325
306,17.97,73.5,0.48274445353318546,0.018111780980204047
307,17.97,73.51,0.48014512190918557,0.018127449199110066
308,17.97,73.52,0.4771542393170027,0.018144983742969533
309,17.97,73.53,0.473774035291707,0.018163435331430642
310,17.97,73.54,0.47012644872178533,0.018181980460516996
311,17.97,73.55,0.46635882193733363,0.01820003275722184
312,17.97,74.58,0.3192902910898182,0.017929101231821443
313,17.97,74.59,0.318072172451334,0.01793957626871568
314,17.97,74.6,0.3169186022423653,0.017949269119697908
315,17.97,74.61,0.31582781141441735,0.017957344430446893
316,17.97,74.62,0.31478309006797023,0.017963133123081718
317,17.97,74.63,0.31376209340083805,0.017966345233020417
318,17.97,74.64,0.31274281273216537,0.017966862541158177
319,17.97,74.65,0.31169096845853556,0.017964575657964197
320,17.97,74.66,0.3106295095212017,0.017959312032775645
321,17.97,74.67,0.3095969770874888,0.017950839815250575
322,17.97,74.68,0.30863046985215264,0.017938899259716
323,17.97,74.69,0.3077022333056253,0.017923240391862296
324,17.97,74.7,0.30678103885812713,0.017903643778530903
325,17.97,74.71,0.305879964983478,0.017879940391757013
326,17.97,74.72,0.30489856332293935,0.017852026005169944
327,17.97,74.73,0.30384643211540086,0.017819893919509
328,17.97,74.8,0.29593548284124876,0.01749418955477802
329,17.97,74.81,0.2946614441686438,0.017432221054809738
330,17.97,74.82,0.29324796744993914,0.017366539220639153
