,latitudes,longitudes,values,variance
226,17.96,74.67,0.26235858181239285,0.007889778021898336
227,17.96,74.68,0.26781650323023726,0.007909617979000173
228,17.96,74.69,0.27380085707137414,0.007916352215715747
229,17.96,74.7,0.2802507201400183,0.007907663825156667
230,17.96,74.71,0.28701692300473297,0.007882230600599385
231,17.96,74.82,0.3432158442156249,0.006735143209643702
232,17.96,74.83,0.3450650036220585,0.006522495147429868
233,17.96,74.84,0.3453737965859308,0.006313878992475621
234,17.96,74.85,0.33869742565271244,0.006132468004382599
235,17.96,74.86,0.3859400000001916,8.054110052165276e-15
236,17.96,74.87,0.3167757576622056,0.006064815110920667
237,17.96,74.88,0.305498271777666,0.006085813639969891
238,17.96,74.89,0.29901244666190335,0.0061249110118305646
239,17.96,74.9,0.3045388576116479,0.006143905682272639
240,17.96,74.91,0.31946844539631203,0.006168591361367147
241,17.96,74.92,0.3459004258759054,0.006243094808473903
242,17.96,74.93,0.3619376330701757,0.006407438469040191
243,17.96,74.94,0.36553583629187725,0.006572123648192895
244,17.96,74.95,0.3649414491335813,0.006704474212721832
245,17.96,74.96,0.36332801139452997,0.006799882284159733
246,17.96,74.97,0.3611589668506202,0.006872384632403368
247,17.96,74.98,0.3582444224467504,0.0069545111154320285
248,17.96,74.99,0.3540208740069668,0.007057755919798359
249,17.96,75.0,0.34853714697484617,0.007162119395914718
250,17.96,75.01,0.3424736230052411,0.007257953441731973
251,17.96,75.02,0.3364491470180811,0.007342552741452864
252,17.96,75.03,0.33087256752080446,0.007415163166325444
253,17.96,75.04,0.32588614797503845,0.00747461996694053
254,17.96,75.05,0.3215073959058826,0.007519048276608713
255,17.96,75.06,0.31764429511467346,0.007546464252226164
256,17.96,75.07,0.3143332483403877,0.0075551807231054036
257,17.96,75.08,0.3116513405831766,0.007543891383631489
258,17.96,75.09,0.3096836732373806,0.00751467022261536
259,17.96,75.1,0.31285312521322645,0.007625037064904889
260,17.96,75.11,0.3170984665113115,0.007740532549732259
261,17.96,75.12,0.3215135253329714,0.00784031211201498
262,17.96,75.13,0.325986254032309,0.007925321794153539
263,17.96,75.14,0.330600027145838,0.007997113868148201
264,17.96,75.15,0.3354399178672837,0.008057782073828353
265,17.96,75.16,0.34055894367278733,0.008109805582229
266,17.96,75.17,0.3454012535030389,0.00815568086500116
267,17.96,75.18,0.34941641302579235,0.008197415239026357
268,17.96,75.19,0.3526574972786343,0.008236145603767226
269,17.96,75.2,0.3551560809258737,0.008272057639671196
270,17.96,75.21,0.3568385677785498,0.00830461786585314
271,17.96,75.22,0.3579904208944421,0.00833285283734679
272,17.96,75.23,0.35855441340996513,0.008355615301197859
273,17.96,75.24,0.35890617524176033,0.008371793107582237
274,17.96,75.25,0.3591262646142594,0.008380493412300035
275,17.96,75.26,0.3592488499053555,0.00838114662581956
276,17.96,75.27,0.35940546520315286,0.00837354021012108
277,17.96,75.28,0.35970238012599226,0.00835778643554996
278,17.96,75.29,0.3601352743666808,0.008334225958064484
279,17.96,75.3,0.36069813090345487,0.00830332736815978
280,17.96,75.31,0.36138664378030877,0.00826565588052325
281,17.96,75.32,0.3624223934175241,0.008222095142044243
282,17.96,75.33,0.3636013142230169,0.008174320623184633
283,17.96,75.34,0.3649401304587662,0.008125637555145115
284,17.96,75.35,0.36638271086413643,0.008081867125619297
285,17.96,75.36,0.36730523678143634,0.008050964042360505
286,17.96,75.37,0.36762993811351796,0.00803911999111629
287,17.96,75.38,0.3674137733516318,0.008045492358649363
288,17.96,75.39,0.3667463645502953,0.008063013543530924
289,17.96,75.4,0.3660565712099923,0.008083885241159218
290,17.96,75.41,0.36573545007246594,0.00810250695179506
291,17.96,75.42,0.3657052647974618,0.008115340915506818
292,17.96,75.43,0.36593817481725516,0.008120047460148837
293,17.96,75.44,0.3661506461338398,0.008114873058655362
294,17.96,75.45,0.3661916482968886,0.008098318437269028
295,17.96,75.46,0.36621270054443394,0.00806904748070563
296,17.97,73.4,0.47782437846216474,0.007900054859004827
297,17.97,73.41,0.4743129284794298,0.007827549168241063
298,17.97,73.42,0.46976061834166244,0.007773873152493021
299,17.97,73.43,0.46414358998326316,0.007736209294005772
300,17.97,73.44,0.45758400286812484,0.007711279503376755
301,17.97,73.45,0.45007671393461685,0.007696044107683455
302,17.97,73.46,0.44154289616459635,0.007688407058832681
303,17.97,73.47,0.4323425426135461,0.007687884593980809
304,17.97,73.48,0.42286273096229965,0.007696316366407516
305,17.97,73.49,0.41372660777105363,0.007718319634057422
306,17.97,73.5,0.40509240647636846,0.007759915460914135
307,17.97,73.51,0.39711457639265874,0.007823753521191862
308,17.97,73.52,0.38979326178261636,0.00790547991135687
309,17.97,73.53,0.3829972544623627,0.007996891542572203
310,17.97,73.54,0.376191620269311,0.008090594655926589
